x	y	z	Name	Id	Colour Id
535569.0882	4748306.9957	0.0000	Line	18	7
535589.6943	4748278.6337	0.0000	Line	18	7
535594.3766	4748272.1890	0.0000	Line	18	7
535599.4782	4748265.1674	0.0000	Line	18	7

535574.3797	4748303.5743	0.0000	Line_15001	21	7
535584.2078	4748290.3591	0.0000	Line_15001	21	7
535586.4411	4748287.3562	0.0000	Line_15001	21	7
535588.8743	4748284.0845	0.0000	Line_15001	21	7

535561.6816	4748314.2732	0.0000	Line	26	140
535513.0215	4748314.2732	0.0000	Line	26	140
535511.2281	4748314.2732	0.0000	Line	26	140

535560.7467	4748314.2657	0.0000	metres	29	2
535560.7467	4748314.2581	0.0000	metres	29	2
535560.7543	4748314.2506	0.0000	metres	29	2
535560.7543	4748314.2430	0.0000	metres	29	2
535560.7467	4748314.2430	0.0000	metres	29	2
535560.7543	4748314.2280	0.0000	metres	29	2
535560.7467	4748314.2204	0.0000	metres	29	2
535560.7543	4748314.2053	0.0000	metres	29	2
535560.7543	4748314.1978	0.0000	metres	29	2
535560.7543	4748314.1903	0.0000	metres	29	2
535560.7543	4748314.1827	0.0000	metres	29	2
535560.7543	4748314.1752	0.0000	metres	29	2
535560.7543	4748314.1676	0.0000	metres	29	2
535560.7543	4748314.1601	0.0000	metres	29	2
535560.7543	4748314.1526	0.0000	metres	29	2
535560.7543	4748314.1450	0.0000	metres	29	2
535560.7543	4748314.1375	0.0000	metres	29	2
535560.7543	4748314.1299	0.0000	metres	29	2
535560.7543	4748314.1224	0.0000	metres	29	2
535560.7543	4748314.1149	0.0000	metres	29	2
535560.7543	4748314.1073	0.0000	metres	29	2
535560.7543	4748314.1149	0.0000	metres	29	2
535560.7467	4748314.1149	0.0000	metres	29	2
535560.7392	4748314.1224	0.0000	metres	29	2

535553.9839	4748314.2883	0.0000	metres	36	2
535553.9915	4748314.2883	0.0000	metres	36	2
535553.9915	4748314.2807	0.0000	metres	36	2
535553.9915	4748314.2732	0.0000	metres	36	2
535553.9915	4748314.2657	0.0000	metres	36	2
535553.9915	4748314.2506	0.0000	metres	36	2
535553.9915	4748314.2430	0.0000	metres	36	2
535553.9990	4748314.2280	0.0000	metres	36	2
535553.9990	4748314.2204	0.0000	metres	36	2
535553.9990	4748314.2129	0.0000	metres	36	2
535553.9990	4748314.2053	0.0000	metres	36	2
535553.9990	4748314.1978	0.0000	metres	36	2
535553.9990	4748314.1903	0.0000	metres	36	2
535553.9990	4748314.1827	0.0000	metres	36	2
535553.9990	4748314.1752	0.0000	metres	36	2
535553.9990	4748314.1676	0.0000	metres	36	2
