x	y	z	Name	Id	PType	Colour Num	Colour Id	Colour (red)	Colour (green)	Colour (blue)
535533.2489	4748311.6406	0.0000	circular_scanline	11	0	4278190080	7	0	0	0
535533.2337	4748311.8142	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535533.1885	4748311.9826	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535533.1149	4748312.1406	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535533.0149	4748312.2833	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535532.8916	4748312.4066	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535532.7489	4748312.5066	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535532.5909	4748312.5802	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535532.4225	4748312.6254	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535532.2489	4748312.6406	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535532.0752	4748312.6254	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535531.9068	4748312.5802	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535531.7489	4748312.5066	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535531.6061	4748312.4066	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535531.4828	4748312.2833	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535531.3828	4748312.1406	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535531.3092	4748311.9826	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535531.2640	4748311.8142	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535531.2489	4748311.6406	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535531.2640	4748311.4669	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535531.3092	4748311.2985	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535531.3828	4748311.1406	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535531.4828	4748310.9978	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535531.6061	4748310.8745	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535531.7489	4748310.7745	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535531.9068	4748310.7009	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535532.0752	4748310.6557	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535532.2489	4748310.6406	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535532.4225	4748310.6557	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535532.5909	4748310.7009	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535532.7489	4748310.7745	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535532.8916	4748310.8745	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535533.0149	4748310.9978	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535533.1149	4748311.1406	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535533.1885	4748311.2985	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535533.2337	4748311.4669	0.0000	circular_scanline	11	2	4278190080	7	0	0	0
535533.2489	4748311.6406	0.0000	circular_scanline	11	3	4278190080	7	0	0	0

